Show,Season,Num_Episodes_per_Season,Episode,Title,Year,Num_Lines_per_Episode
Gilmore Girls,05,22,07," You Jump, I Jump, Jack",2004,752
Gilmore Girls,05,22,08, The Party's Over,2004,794
Gilmore Girls,05,22,09, Emily Says Hello,2004,672
Gilmore Girls,05,22,10, But Not as Cute as Pushkin,2004,733
Gilmore Girls,05,22,11, Women Of Questionable Morals,2005,742
Gilmore Girls,05,22,12, Come Home,2005,776
Gilmore Girls,05,22,13, Wedding Bell Blues,2005,665
Gilmore Girls,05,22,14, Say Something,2005,775
Gilmore Girls,05,22,15, Jews & Chinese Food,2005,787
Gilmore Girls,05,22,16, So...Good Talk,2005,829
Gilmore Girls,05,22,17, Pulp Friction,2005,827
Gilmore Girls,05,22,18, To Live and Let Diorama,2005,751
Gilmore Girls,05,22,19, But I'm A Gilmore,2005,794
Gilmore Girls,05,22,20, How Many Kropogs to Cape Cod,2005,819
Gilmore Girls,05,22,21, Blame Booze and Melville,2005,846
Gilmore Girls,05,22,22, A House is Not A Home,2005,699
Gilmore Girls,06,22,01, New and Improved Lorelai Gilmore,2005,640
Gilmore Girls,06,22,02, Fight Face,2005,732
Gilmore Girls,06,22,03, The UnGraduate,2005,610
Gilmore Girls,06,22,04," Always a Godmother, Never a God",2005,639
Gilmore Girls,06,22,05, We've Got Magic to do,2005,728
Gilmore Girls,06,22,06, Welcome to the Dollhouse,2005,718
Gilmore Girls,06,22,07, Twentyone is the Loneliest Number,2005,688
Gilmore Girls,06,22,08, Let me Hear Your Balalaikas Ringin,2005,783
Gilmore Girls,06,22,09, The Prodigal Daughter Returns,2005,752
Gilmore Girls,06,22,10, He's Slippin Em Bread... Dig?,2005,797
Gilmore Girls,06,22,11, The Perfect Dress,2006,732
Gilmore Girls,06,22,12, Just Like Gwen and Gavin,2006,747
Gilmore Girls,06,22,13, Friday Night's Alright For Fighting,2006,745
Gilmore Girls,06,22,14, You've Been Gilmored,2006,844
Gilmore Girls,06,22,15, A Vineyard Valentine,2006,855
Gilmore Girls,06,22,16, Bridesmaids Revisited,2006,714
Gilmore Girls,06,22,17," I'm OK, You're OK",2006,781
Gilmore Girls,06,22,18, The Real Paul Anka,2006,813
Gilmore Girls,06,22,19, I Get A Sidekick Out of You,2006,676
Gilmore Girls,06,22,20, Super Cool Party People,2006,674
Gilmore Girls,06,22,21, Driving Miss Gilmore,2006,815
Gilmore Girls,06,22,22, Partings,2006,662
Gilmore Girls,07,22,01, The Long Morrow,2006,595
Gilmore Girls,07,22,02," That's What You Get, Folks, For Makin' Whoopee",2006,457
Gilmore Girls,07,22,03, Lorelai's First Cotillion,2006,687
Gilmore Girls,07,22,04," 'S Wonderful, 'S Marvelous",2006,611
Gilmore Girls,07,22,05, The Great Stink,2006,698
Gilmore Girls,07,22,06, Go Bulldogs,2006,777
Gilmore Girls,07,22,07, French Twist,2006,665
Gilmore Girls,07,22,08, Introducing Lorelai Planetarium,2006,816
Gilmore Girls,07,22,09," Knit, People, Knit!!",2006,755
Gilmore Girls,07,22,10, Merry Fisticuffs,2006,736
Gilmore Girls,07,22,11, Santa's Secret Stuff,2007,696
Gilmore Girls,07,22,12, To Whom It May Concern,2007,652
Gilmore Girls,07,22,13, I'd Rather be in Philidelphia,2007,616
Gilmore Girls,07,22,14," Farewell, My Pet",2007,675
Gilmore Girls,07,22,15," I'm a Kayak, Hear Me Roar",2007,685
Gilmore Girls,07,22,16, Will You Be My Lorelai Gilmore?,2007,706
Gilmore Girls,07,22,17, Gilmore Girls Only,2007,730
Gilmore Girls,07,22,18, Hay Bale Maze,2007,753
Gilmore Girls,07,22,19, It's Just Like Riding A Bike,2007,791
Gilmore Girls,07,22,20, Lorelai? Lorelai?,2007,699
Gilmore Girls,07,22,21, Unto The Breach,2007,660
Gilmore Girls,07,22,22, Bon Voyage,2007,728
